"","mkt","2008-01-01","2008-01-08","2008-01-15","2008-01-22","2008-01-29","2008-02-05","2008-02-12","2008-02-19","2008-02-26","2008-03-04","2008-03-11","2008-03-18","2008-03-25","2008-04-01","2008-04-08","2008-04-15","2008-04-22","2008-04-29","2008-05-06","2008-05-13","2008-05-20","2008-05-25","2008-06-03","2008-06-10","2008-06-17","2008-06-24","2008-07-01","2008-07-08","2008-07-15","2008-07-22","2008-07-29","2008-08-05","2008-08-12","2008-08-19","2008-08-26","2008-09-02","2008-09-09","2008-09-16","2008-09-23","2008-09-30","2008-10-07","2008-10-14","2008-10-21","2008-10-28","2008-11-04","2008-11-11","2008-11-18","2008-11-25","2008-12-02","2008-12-09","2008-12-16","2008-12-23","2008-12-30","2009-01-06","2009-01-13","2009-01-20","2009-01-27","2009-02-03","2009-02-10","2009-02-17","2009-02-24","2009-03-03","2009-03-10","2009-03-17","2009-03-24","2009-03-31","2009-04-07","2009-04-14","2009-04-21","2009-04-26","2009-05-05","2009-05-12","2009-05-19","2009-05-26","2009-06-03","2009-06-10","2009-06-17","2009-06-24","2009-06-30","2009-07-07","2009-07-14","2009-07-21","2009-07-28","2009-08-04","2009-08-11","2009-08-18","2009-08-25","2009-09-01","2009-09-08","2009-09-15","2009-09-22","2009-09-29","2009-10-06","2009-10-13","2009-10-20","2009-10-27","2009-11-03","2009-11-10","2009-11-17","2009-11-24","2009-12-01","2009-12-08","2009-12-13","2009-12-20","2009-12-27","2010-01-05","2010-01-12","2010-01-19","2010-01-26","2010-02-02","2010-02-09","2010-02-16","2010-02-23","2010-03-02","2010-03-09","2010-03-16","2010-03-23","2010-03-30","2010-04-06","2010-04-13","2010-04-20","2010-04-25","2010-05-04","2010-05-11","2010-05-18","2010-05-25","2010-06-01","2010-06-08","2010-06-15","2010-06-22","2010-06-29","2010-07-06","2010-07-13","2010-07-20","2010-07-27","2010-08-03","2010-08-10","2010-08-17","2010-08-24","2010-08-31","2010-09-07","2010-09-14","2010-09-21","2010-09-26","2010-10-05","2010-10-12","2010-10-19","2010-10-26","2010-11-02","2010-11-09","2010-11-16","2010-11-23","2010-11-30","2010-12-07","2010-12-14","2010-09-19","2010-12-28","2011-01-04","2011-01-11","2011-01-18","2011-01-25","2011-02-01","2011-02-08","2011-02-15","2011-02-22","2011-02-27","2011-03-06","2011-03-13","2011-03-20","2011-03-27","2011-04-05","2011-04-12","2011-04-19","2011-04-26","2015-11-29","2015-12-06","2015-12-13","2015-12-20","2015-12-27","2015-11-01","2015-11-08","2015-11-15","2015-11-22","2016-04-03","2016-04-10","2016-04-17","2016-04-24","2016-01-31","2016-02-07","2016-02-14","2016-02-21","2016-01-03","2016-01-10","2016-01-17","2016-01-24","2016-07-03","2016-07-10","2016-07-17","2016-07-24","2016-05-29","2016-06-05","2016-06-12","2016-06-19","2016-06-26","2016-02-28","2016-03-06","2016-03-13","2016-03-20","2016-03-27","2016-05-01","2016-05-08","2016-05-15","2016-05-22","2016-07-31","2016-08-07","2016-08-14","2016-08-21","2016-10-02","2016-10-09","2016-10-16","2016-09-04","2016-09-11","2016-09-18","2016-12-04","2016-12-11","2016-12-18","2016-12-25","2017-04-02","2017-04-09","2017-04-16","2017-01-29","2017-02-05","2017-02-12","2017-02-19","2017-01-01","2017-01-08","2017-01-15","2017-01-22","2017-02-26","2017-03-05","2017-03-12","2017-03-19","2017-04-30","2017-05-07","2017-05-14","2017-05-21"
"1","MISUKU","136.00","193.33","193.33","193.33",NA,"193.33","12","191.25","191.25","191.25","11","189.38","189.38",NA,NA,"158.33","137.82","127.82","120.00","106.11","115.38",NA,"115.38"," 79.45","113.84","24","131.03"," 88.92","135.64","22","141.64","141.54"," 74.45","166.93","147.93","147.93","169.64","178.57","169.64","169.64","178.57","180.95","21","208.10","208.10","228.57","227.91","227.91","208.57","200.95","229.05","12",NA,NA,"200.95","213.81","27","265.00","265.00","270.00","24","214.29","214.26","17","218.58","218.58","218.58","218.58","218.58",NA,"210.00","192.14","19","175.00","171.45","140.95","139.05","140.95","139.05","139.05","142.86","21","107.15","109.29","113.71","133.57","114.00","137.91","123.17","129.16","22",NA,"138.10","138.10","143.57","145.71","140.95","131.88","166.43","178.57","182.14","12",NA,NA,NA,"178.57","175.00","169.29","165.95","169.29","192.14","169.29","165.95","169.48","162.15","182.15","178.15","164.29","171.43","175.03","171.43",NA,"175.00","171.43","162.15","153.34","147.84","152.38","160.48","157.15","154.77","149.34","13","140.95","144.36","121.91","122.50","122.77","143.81","140.77",NA,"149.69","147.02",NA,"10","160.48","172.62","176.19","172.62","169.29","175.00","182.14","11","172.62","178.52",NA,NA,"165.95","177.66","187.15","212.00",NA,NA,"156.67","156.67",NA,NA,NA,NA,NA,"155.00","154.77","158.34","160.72","413.54","415.18","13","488.53","486.31","318.46","321.41","410.88","412.19","502.02","507.92","501.82",NA,"498.72",NA,"14",NA,NA,"491.13","17","494.12",NA,"10","17","24",NA,"503.65","486.19","19",NA,"510.12","512.19","13","20",NA,"505.89",NA,NA,"22","482.16","478.03","478.03","478.10","10","10","10",NA,"482.35","18",NA,"11","18","12",NA,NA,NA,"509.27","511.18","503.93","513.89",NA,NA,"15","22",NA,NA,"12","19",NA,NA,"14","21"
"2","NTHALIRE","108.19","110.92","111.11","111.11","110.72","121.48","121.48","19",NA,NA,NA,"18",NA,NA,NA,NA,"153.75","133.36","133.66","123.16","20",NA,NA," 88.42","17",NA,"120.59","126.67","120.69","120.69","29",NA,"107.89","128.13","124.64","128.13","121.14","16","151.62","128.13","121.14","128.13","124.64","121.14","121.14",NA,"117.65","25","121.14","168.82","178.06","12","168.82",NA,"13","185.29","205.71","199.24","196.00",NA,"188.00",NA,NA,"188.00","188.00","188.00","184.00","14","176.00",NA,NA,"160.89","160.89","153.33","159.94","10","17",NA,"157.14","147.78","155.24","21","155.24","147.78","155.24","18","155.24",NA,NA,"155.24","153.33",NA,NA,NA,"20","27","153.33","147.78","155.24","102.78","150.00","121.12",NA,NA,NA,"180.17","172.50","19","110.83","102.78","153.33","150.01",NA," 95.83",NA,"16",NA," 95.83",NA,"13","20",NA,NA,"11","127.50","25",NA,NA,NA,"22","29",NA,NA,"20","27",NA,"10",NA,"24",NA,NA,"14",NA,NA,"119.32",NA,NA,"26",NA,NA,"11","23",NA,"12","14",NA,NA,NA,NA,"18",NA,NA,NA,"15","22",NA,NA,NA,NA,NA,NA,"12","19",NA,"349.74","350.55","352.34","355.95","12","362.82",NA,"11","22",NA,NA,"17",NA,NA,NA,"14",NA,"398.64","425.15","444.45","459.46",NA,"10",NA,"24",NA,NA,NA,"19",NA,"28",NA,"13","20",NA,NA,NA,NA,"22",NA,NA,NA,"21",NA,NA,"16",NA,"11","18","600.94","601.04","610.17","607.01",NA,NA,NA,NA,NA,"12","19",NA,NA,"15","22",NA,NA,"12","19",NA,NA,"14","21"
"3","CHITIPA","167.18","164.00","162.50","162.50","185.00","205.00","205.00","205.00","205.00","205.00","257.44","257.44",NA,"257.44","257.44","179.92","179.92","179.92","179.92","177.62","175.71",NA,NA,"147.55","163.11","146.67","146.67","135.67","146.67","136.00","136.00","136.00","136.00","136.00","147.56",NA,"147.60","151.62","151.62","151.52","151.62","151.62","151.62","151.62","159.62","159.62","159.52","159.62","160.06","160.51","166.22","171.24",NA,"187.94","187.94","187.94","208.51","245.52","254.80","257.33","261.54","261.46",NA,"261.64","270.75","265.85","271.79","260.97","21",NA,"203.12","199.84","199.80","194.07","237.13","233.56","230.70","228.52","228.21","234.83","232.94","226.27","224.51","223.51","222.52","225.53","224.53","224.60","224.10","224.40","224.33","224.30","224.48","223.48","223.54","223.35","223.70","223.64","223.70","223.75","223.80","223.87",NA,NA,NA,"224.38","224.58","224.60","224.79","226.37","227.04","227.86","233.19","235.43","234.01","235.82","235.90","235.97","235.99",NA,"235.34",NA,"235.01","209.49","214.47","213.44","210.42","210.42","209.38","209.20","208.23","207.25","207.14","206.18","106.14","205.41","10","203.42","203.18","202.45","202.52","202.31","201.25",NA,"201.36","201.40","207.17","202.19","202.19","202.31","202.42","201.41","201.77","203.17","202.26",NA,NA,"205.72","206.04","206.42","207.18","207.36",NA,"208.60","210.14",NA,NA,NA,NA,NA,"221.24","221.38","224.15","224.46",NA,"458.01","459.14",NA,"460.89",NA,"454.20","11","452.94","471.50","474.95","475.03","478.16","465.93","468.51","14",NA,"462.98",NA,"463.25",NA,"475.15","475.67","475.20","476.04","476.15","472.75","474.17","474.41","475.07",NA,NA,"469.56","470.17","470.29","478.91",NA,"479.49","475.24","476.62","475.58",NA,"21",NA,"10","10",NA,"479.38","480.17",NA,NA,NA,"12",NA,NA,NA,"530.56","530.67","530.72","530.61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21"
"4","KARONGA","240.25","240.25","210.00","233.33","250.00","285.71","12","191.49","191.49","250.00","270.00","240.00","200.00","275.00","200.00","208.78","181.18","208.33","133.33","187.05","200.00",NA,"218.18","10","220.18","300.00","266.75","266.66","225.00","300.00","230.00","214.37",NA,"333.33","120.00","230.85",NA,"230.00","250.00","230.85","250.00","272.72","230.85","266.75","272.72","272.72","300.00","25","333.33","327.20","16","200.00",NA,"250.00","300.00","303.03","300.00","272.72","285.71","312.00","305.00","307.78","333.33","322.22","24","307.69","266.66","240.00","240.00",NA,"233.33","225.00","214.28","250.00","214.28","171.42","230.76","187.16","191.17","196.97","222.22","242.85","252.90","188.84","200.00","18","176.47","196.10",NA,"192.22","200.00",NA,"174.22","142.85","141.24","159.47","187.05","166.75","176.44","187.05","179.96","125.00",NA,NA,NA,"225.00","222.27","188.92","26","240.00","213.33","224.16","333.33","333.33","210.00","283.33","250.00","277.72","230.76","193.41","149.83",NA,"156.16","154.24","150.00","153.84","164.84",NA,"15","181.31","187.50",NA,NA,NA,"27",NA,NA,"200.00","198.82","198.90","193.75","187.05","187.05",NA,"200.00","114.28","222.22","212.05","206.22","188.88","212.05","225.00","220.55","250.00","206.24",NA,NA,"230.36","240.00","222.22",NA,NA,NA,"277.77","219.22",NA,NA,NA,NA,NA,"235.16","218.18","200.00","177.72","655.17","661.92","13","12","12","650.19","645.75","666.19","650.19","750.75","733.33","720.92","700.16","720.18",NA,NA,NA,"884.33","800.92","866.75","886.75","624.19","620.75","600.75","628.02","590.21","585.16","570.14","555.94","560.92","800.14","792.18","13",NA,NA,"650.14","620.94","590.16","552.97","612.18","600.24","611.24","603.92","750.19","785.18","800.19","857.14","750.00","836.80","850.24","813.42","18",NA,NA,"800.02","595.04",NA,"909.09","954.54","950.18","954.54","950.55","933.33","940.75","802.71","780.14","826.14","700.17","750.04","712.72","691.14","720.16"
"5","CHILUMBA",NA,NA,NA,NA,NA,"200.00",NA,"19",NA,"200.00","200.00","200.00","200.00",NA,NA,"155.00","155.00","155.00",NA,NA,NA,NA,NA,NA,NA,"24",NA,NA,"180.00","200.00","200.00","200.00","12","230.00",NA,"200.00","250.00","250.00","250.00","275.00","270.00","250.00","270.00","10","11","225.00","11","11","244.25","266.11",NA,NA,NA,"266.00","13",NA,"279.29","250.21","277.20","241.52","300.05",NA,"10","17","287.51",NA,"255.07","14","229.34",NA,"199.41","205.54","199.78","205.54",NA,NA,"17",NA,"30","200.00","181.82","138.58","146.67","146.81","148.81","180.65","184.62","180.79","178.80","140.44","118.62","120.40","119.40","121.41","123.37","121.21","185.71","175.81","196.23","194.44","190.45","177.77",NA,NA,NA,"186.67","184.74","171.73","175.57","181.41","192.59","221.21","207.41","241.21","251.53","255.55","266.67","255.27","249.47","201.71","190.91",NA,"181.74","177.77","177.77","118.27","196.43","192.67","192.67","168.53","164.65","148.83","148.83","166.67","155.56","143.78","143.79","143.79","196.52","191.96","196.67","196.67","201.48",NA,"197.21","193.74","193.74","195.17","206.67","203.33","203.33","203.09","11","198.19","198.19",NA,NA,NA,NA,"18","119.17","133.39",NA,"15","22",NA,NA,NA,NA,NA,NA,NA,"19","181.27","393.97","12","12","12","12","396.71","391.11","394.44","394.44",NA,"10","17",NA,"477.81","483.54","487.77",NA,"473.41","474.44","475.66",NA,NA,"386.19","393.35","396.07","344.44","366.75","371.07","379.15","384.11","488.97",NA,NA,"20",NA,"346.61","337.38","338.81","341.81",NA,"393.33","397.79","403.59","428.14","434.06","436.61",NA,"413.33",NA,"504.44","511.91","513.33","512.23","533.41","521.18","514.01","516.67","521.11","527.71","519.04",NA,NA,NA,"22","523.21","519.11","521.91","524.41","504.21","505.56","501.47","503.37"
"6","RUMPHI","169.56","169.56","187.33","187.33",NA,"187.33","205.24","205.24","205.24","205.24","205.24","267.14","222.86","222.86","185.71","15","22","29",NA,"208.00","208.00",NA,"173.33",NA,"208.00","208.00","208.00","208.00","242.67","242.67","242.67","194.83","194.83","19","194.83","194.82","194.83","194.67","194.83","194.83","194.83","194.83","224.23","224.23","242.67","242.67","242.67","242.67","242.67","242.67","242.67","242.67","242.67",NA,"242.62","220.99","304.99","304.99","304.99","304.99","304.99","351.67","312.50","312.50","291.67","291.67","291.67","291.67","291.67",NA,"265.91","221.73","221.73","217.53","206.38","201.78","168.57","187.12","290.70","278.66","318.47","232.25","28","229.42","228.72","195.29","167.68","156.16","182.37",NA,"22","220.18","226.59","225.43","224.25","177.69","178.68","176.52","220.18","203.43","206.13","185.48",NA,NA,NA,"204.13","203.25","183.96","209.63","244.68","242.96","254.61","239.05","249.05","246.10","249.81","246.10","286.23","201.33","13",NA,NA,"195.86","200.35","198.96","203.82","198.50","197.82","184.18","192.86","188.37",NA,"13",NA,NA,NA,"184.69","190.27","192.81","191.50","183.47","192.37","188.37",NA,"184.69","184.69","184.69",NA,"11","194.81","11",NA,"194.77","217.77","258.61",NA,"270.10","266.49",NA,"256.44","273.63",NA,NA,"255.55","246.47",NA,NA,NA,NA,NA,"245.93","12","238.68","240.73","627.33","629.64","629.08",NA,"12","622.86","623.31","620.81","622.64",NA,"739.32","807.00","796.92","655.86","735.28","729.05","734.32","681.78","695.22","572.23","661.24","724.55",NA,"715.19","720.45","749.70","793.99","749.34","727.18","725.51","733.65","737.38",NA,"743.81","851.00","793.99","794.66","800.85","793.99",NA,NA,NA,"711.87","754.87","735.46","735.88","732.16","738.96","742.12","772.44","772.65","18",NA,NA,NA,NA,"749.68","748.22","752.07","751.22",NA,"778.44","769.44","749.55","756.36","751.14",NA,"19","445.77","444.44","472.22","476.52"
"7","HEWE",NA,NA,"126.79","126.79","125.23","109.05",NA,"138.10","123.57","123.57","11",NA,NA,NA,NA,"15","22","29",NA,"13","20",NA,NA,NA,"17","24","131.43","131.79","131.79","145.71","145.71","145.71","12",NA,"140.95",NA,"109.63","122.86","124.76","130.48","130.48","130.48","125.48","127.62","121.91","132.33","132.38",NA,"132.38","135.87","136.55","133.33",NA,NA,"200.00","145.24","198.41","198.41","200.79","138.10","137.14","137.14","177.75","208.57","198.12","192.14","200.12","195.84",NA,NA,"188.61","191.11","191.67","191.67","195.00","192.64","215.90","196.30","199.99","193.94","199.74","203.33","193.72","205.97","205.07","196.48","196.41","203.90",NA,"204.88","224.48","221.30","191.28","191.11","189.57","192.14","194.00","10","196.77",NA,"193.74","198.34",NA,NA,NA,"202.41","206.42","208.34","207.24","222.07","202.47","207.95",NA,"205.16","203.70","201.67","199.82","201.67","203.89","201.67","205.18",NA,"204.26","208.33","206.02","25","215.38","217.10","218.02","206.85","207.04",NA,"13","20",NA,NA,"202.59","205.74","205.26","207.78",NA,NA,"21",NA,NA,NA,NA,"10",NA,NA,"16","11",NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"500.10",NA,NA,NA,"454.80",NA,"11","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"498.40","498.40","500.16",NA,NA,"17","24",NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,NA,"22",NA,"420.60","14","21",NA,NA,"498.00","498.00","530.00","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"522.76",NA,NA,NA,NA,NA,NA,NA,NA,"744.08"
"8","MZUZU","132.81","104.07","109.20","109.20",NA,"132.81","106.20","136.20",NA,"129.18","134.20","133.00","133.00","175.00","119.18","129.00","118.00","111.30","105.00","176.00","100.00",NA,"135.12"," 88.22","17",NA,"108.16","115.00","112.29","108.15","101.44","113.16","104.00",NA,NA,"102.16",NA,"115.00","23","104.16","121.16","107.00"," 89.14","10",NA,"115.12","117.20","112.00","117.18","118.12",NA,"12","127.06","112.14","118.14","126.18","101.86","133.14","141.18","134.18","154.18","144.22","142.08","162.12","146.13","150.21","149.02","151.00","150.62",NA,"144.15","155.20","158.72","141.89","151.16","153.60","144.10","134.28","146.18","149.81","147.16","133.64","152.76","142.29","139.81","142.27","133.29",NA,NA,"15","22",NA,"10","130.12","128.42","104.82","151.60","128.44","131.42","130.16","134.21","137.18",NA,NA,NA,"144.81","149.18","143.59",NA,"142.50","147.12","138.22","149.50","134.28","136.76","137.10","135.11","127.10","130.00",NA,NA,NA,"112.17","129.87","129.87","130.50","196.05","189.50","189.50","184.15","191.04","195.10","195.10","196.12","194.50","195.05","197.40","197.40","194.40","196.15","194.60","194.60","194.80",NA,"210.80","202.90","202.90","206.09","208.02","211.10","211.10","214.17","210.09",NA,"12",NA,"206.07","217.38","218.04","218.04","220.06",NA,"207.44","207.44","208.79",NA,NA,NA,NA,NA,"220.22",NA,NA,NA,"600.00",NA,"12",NA,NA,"590.95","590.90","600.00","600.20","652.50","655.00","650.40","620.20",NA,NA,"14",NA,NA,"660.24","660.50",NA,"665.00","660.00","658.00","662.25","655.00","650.25","655.15","652.35","652.38","650.20","648.50","13","650.45","652.85","650.60","650.00","655.00","652.30","665.00","660.00","658.00","662.25","700.00","695.25","658.00",NA,NA,"18","660.00","664.20","664.20","12","765.00","760.00","761.00","765.00","765.00","758.08","755.00","765.00","760.00","758.00","762.25",NA,NA,"12",NA,"605.00","600.10","625.10","625.00"
"9","MZIMBA","149.15","149.15","149.16","149.16",NA,NA,"12",NA,"26",NA,"156.63","156.09","154.19","156.02","165.00","150.11","156.03","156.09","156.03","156.03","156.10",NA,"156.00","150.11","151.15","150.58","151.15","150.65","150.60","155.00","144.21","155.07",NA,NA,"26","155.07","155.09","155.10","155.12","155.15","155.17","155.20","155.25","28","135.28",NA,"155.31","155.17",NA,"155.15",NA,NA,NA,NA,"155.10","185.25","185.25","185.28","155.30","17","155.35",NA,"10","17","155.45","154.12"," 90.00"," 90.02","155.10",NA,"150.20","12","155.22","150.25","150.25",NA,"150.20","150.15","150.20",NA,"150.20","150.25","150.30","154.13","155.67","155.68","25","155.70","155.71","155.72","155.73",NA,"10","155.67","255.80",NA,NA,"160.00","160.01","11","150.02","160.03",NA,NA,NA,"160.06","12","160.06","160.06","160.07","160.09","160.09","160.10","160.11","160.13","160.13","160.17","150.18","160.19","13",NA,NA,NA,"160.16","160.17","160.18","150.10",NA,"15","160.20","150.25","160.19","160.21",NA,"173.34","173.34","173.33","17",NA,"173.37",NA,"266.53",NA,NA,NA,"173.36","239.77","173.34","173.00","11","16",NA,"173.40",NA,"173.41",NA,"173.45",NA,NA,NA,NA,NA,"173.44","15","356.42",NA,NA,NA,NA,NA,"335.15","336.01","336.00","324.10","602.29",NA,"12",NA,"12",NA,"11",NA,NA,NA,"10","17",NA,"602.51","603.02","603.05","603.11","602.27","602.31",NA,NA,NA,"10","690.17","24",NA,NA,NA,"650.00",NA,"603.09",NA,"13",NA,NA,"603.91","603.75","600.00","550.00",NA,NA,"14","21","698.02","695.21","675.28",NA,NA,NA,"650.00","652.02","655.00","657.09",NA,NA,NA,NA,NA,NA,NA,"691.81","695.00","693.01","695.00",NA,NA,NA,"19",NA,NA,NA,NA
"10","EMBANGWENI",NA,NA,NA,"22",NA,NA,"12",NA,"26",NA,NA,NA,"25",NA,NA,"15","22",NA,NA," 121.21","20",NA,NA," 128.15","17",NA,NA," 120.00","15","22","29",NA," 133.32",NA,NA,NA,NA,NA,"23","30","10","14"," 106.00"," 113.00"," 267.00"," 247.00","18","11"," 238.00",NA,"12","12",NA," 238.00",NA," 240.00",NA," 220.00"," 200.00"," 225.00",NA,NA,NA,"17"," 218.00"," 240.00"," 200.00"," 220.00"," 225.00",NA," 198.00",NA,"19",NA,NA,"10",NA,"  32.04",NA,"  45.00","14","  48.40",NA,"  42.11","11","  58.08","  58.25",NA,NA,"15",NA,NA,NA,"  57.20","10"," 206.11"," 211.03"," 209.10"," 205.11","24","  98.14","  95.30",NA,NA,NA," 104.40"," 111.20",NA," 110.11"," 101.13"," 110.11"," 108.02","23",NA," 102.08","16",NA,NA," 107.43"," 106.12",NA,NA,NA," 104.19",NA," 107.33"," 109.35"," 109.07",NA," 110.40"," 110.25",NA,NA,NA,NA," 115.21","10","17","24"," 215.14",NA," 221.14"," 219.11",NA,NA,"10"," 227.58"," 233.31",NA,NA,"11","23","11",NA,"12",NA,NA,NA,NA,NA,NA," 202.65"," 214.13"," 188.14"," 240.07",NA,NA,NA,NA,NA," 211.07",NA,NA,NA," 550.43",NA,"12",NA,NA,NA,NA,"11",NA,NA,NA,NA,NA," 500.00"," 500.00","14",NA," 516.04"," 500.00"," 520.00",NA,NA,"10"," 488.39",NA,NA,NA,"12"," 180.00",NA," 520.18"," 500.00"," 500.00",NA,NA," 520.00",NA,NA,NA,NA,NA,NA,NA," 389.00"," 400.00","10",NA,NA,NA,NA,NA,"18","12","1245.84","1203.65","1192.74",NA,NA,"12","19",NA,NA,"15","22",NA,NA,"1200.00","1215.05"," 728.66"," 748.50"," 765.45"," 828.50"
"11","JENDA",NA,NA,"15",NA,NA,NA,NA,NA,"26",NA,"187.50","185.50","185.50",NA,NA,"170.45","170.45",NA,NA,"13","20",NA,NA,NA,"17",NA,"190.00","190.00","180.00","22","180.00","180.00",NA,"197.23","26",NA,NA,NA,"23","30","10","14",NA,"10",NA,"11","11","11",NA,NA,"12","12",NA,NA,NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,NA,"31",NA,NA,"21",NA,NA,NA,NA,"26",NA,"10","17",NA,NA,NA,"14",NA,NA,NA,"11",NA,NA,NA,NA,"15",NA,NA,"10",NA,"10","10",NA,NA,"17","11",NA,"12",NA,NA,NA,NA,"12",NA,"26",NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,"18",NA,NA,NA,NA,"22","29",NA,NA,"20","27",NA,"10","17",NA,"31",NA,"14","21",NA,"160.00","162.00","153.85","10",NA,"11","11",NA,NA,"12","12",NA,NA,NA,NA,NA,"25",NA,NA,"256.17","269.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"542.23","551.02","576.22","577.12","12","553.02","11","11","512.15","592.19","622.72","602.31","601.71","583.31","591.10","637.01","691.49","574.23","576.54","586.93",NA,NA,NA,NA,"654.35","550.81","571.56","570.92","596.41",NA,NA,"603.42",NA,"614.03","613.80","531.09","571.61","531.09","551.28","660.43",NA,NA,"665.49",NA,"675.17","673.18","659.26","661.72","667.15","687.25","11","681.21","683.04","709.57","711.01","702.14","690.76",NA,"714.13","716.73","689.01",NA,"690.76","689.75","712.28",NA,"711.16","713.42","662.92","650.89","613.18","592.28"
"12","MPAMBA"," 85.10"," 85.10","174.07","174.07",NA,NA,NA,NA,"190.53",NA,"284.15","284.15","319.67","245.90",NA,"197.18","197.18","197.18",NA,"13","20",NA,NA,"144.12","144.10","144.10","144.12","146.01","143.63","152.16","146.16","197.23",NA,NA,"197.23","192.78","192.78","196.60","195.60","196.71","190.23","190.23","195.43","189.27","185.30","175.54","107.78","25","107.78","113.81","119.83",NA,NA,"182.22","296.18","287.43","287.43","264.29","252.70","213.46",NA,"189.73","187.46","181.54","179.84","171.65","170.84","169.27","179.43",NA,"179.29","179.29","179.94","178.65","172.06","171.24","169.76","151.72","149.26","181.67","149.42","147.16","172.59","121.37","120.99","121.72","127.11","129.36","131.82","138.22","139.51","142.63","10","13","10","153.76","142.63","141.36","140.83","144.91","143.19","144.88",NA,NA,NA,"149.62","147.89","148.47","26","161.76","158.83","162.84","167.76","169.19","171.54","169.54","152.19","150.79","142.33","13","140.79",NA,"139.83","133.47","130.45","131.44","129.82","128.43","138.19","139.40","143.64",NA,"13","20",NA,NA,NA,"158.92","157.72","149.27","154.20","14","21",NA,"162.77","166.18","168.99","10","11","166.16","163.16","23",NA,"12","12",NA,NA,NA,"167.19","168.74",NA,"169.22",NA,"169.91","168.88",NA,NA,NA,NA,NA,"168.18","170.29","169.21","166.84","29","12",NA,NA,"12",NA,"11","11",NA,NA,"10",NA,NA,NA,NA,"14",NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"779.25",NA,NA,NA,NA,NA,"479.64","483.55","483.57","12",NA,NA,NA,NA,NA,NA,NA,"484.55","484.57","484.54","484.59",NA,NA,NA,"19",NA,NA,NA,"21"
"13","NKHATABAY"," 91.48"," 99.05","100.95","111.00",NA,NA,NA,"19","124.13","134.14","151.43","132.33","132.33","183.14","183.14","189.21","159.41","159.41","171.76","171.76","20",NA,"197.14",NA,"197.75","197.75","197.75","194.23","194.23","190.33","180.12","158.33","164.28","128.53","133.61","133.61","134.11","137.02","137.02","139.81","196.71","183.12","188.26","200.00","190.83","175.54","11","11","186.25","180.28","165.33","188.33","190.28",NA,"225.81","229.09","220.48","221.53","210.83","230.45","215.58","225.20","240.18","196.17","265.18","238.11","228.76","218.33","235.27",NA,"166.66","173.37","165.15",NA,"191.67","187.28","170.25","165.73","154.28","151.36","148.93","140.25","135.86","143.18","135.43","140.25","135.66","141.12","121.27","125.91","140.83",NA,"151.14","135.56","141.28","140.43","152.43","154.32","157.12","154.12","156.72","157.12",NA,NA,NA,"168.25","179.52","181.12","26","185.17","194.56","190.18","198.18","194.12","198.28","196.59",NA,"189.17","194.28","13","20",NA,"156.66","164.52","156.28","162.92","149.81","143.72","149.18","143.17","134.12",NA,NA,NA,NA,NA,NA,"142.86","146.45","145.58",NA,"14",NA,NA,"10","132.18","148.32","151.25","11","11","11","11",NA,NA,"14",NA,NA,NA,NA,"18","25",NA,"152.46","151.33","152.27",NA,NA,NA,NA,NA,NA,"12","19","160.26","708.05",NA,"13","12","12",NA,"11","11",NA,"730.02","735.01","789.22","801.17","708.09","708.08","714.15","712.05",NA,NA,NA,NA,NA,"634.39",NA,"758.09","686.13","769.42","772.14","778.14","769.24","715.25","720.41","722.29",NA,"722.09","802.16","798.21","798.21","785.13","752.35","755.82","742.83","761.45","10","780.21","782.33","787.99","780.50","779.20",NA,"11","18",NA,NA,NA,NA,"780.09",NA,NA,"19","783.49","780.27","785.49","780.25",NA,NA,NA,"19",NA,NA,NA,"978.42"
