"HHID","case_id","FCS","HDDS","rCSI","ea_id","region_north","region_central","rural","FS_month","FS_year","lat_modified","lon_modified","dist_road","dist_admarc","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","floor_dirt_sand_dung","cell_phone","number_celphones","roof_not_natural","roof_iron","Refrigerator","Radio","Television","Bicycle","Motorcycle","Car"
"0001c970eecf473099368557e2080b3e","301025230225",44,5,19,"30102523",0,0,1,3,2017,-14.683761,34.915074,13,17,32,28,0,0,0,0,80,0,1,0,0,0,0,0,1,0,0,0,0
"000509f5cfcc4b078a09672b09425e95","210374850204",49,6,0,"21037485",0,1,0,4,2016,-14.005029,33.794591,2,3,3,0,0,0,0,0,33,0,0,1,1,1,1,0,1,1,0,0,0
"000bc107780044e59327dbf7ec960ac1","311057710075",30,4,21,"31105771",0,0,1,5,2016,-16.826165,35.269503,1,2,12,37,0,0,0,0,34,0,1,1,2,0,0,0,0,0,0,0,0
"000d1d26325d4f73a2ffbb8a99ab4752","312048040073",37.5,4,6,"31204804",0,0,1,3,2017,-15.00473,35.163219,1,10,7,41,0,0,0,0,50,0,1,0,0,0,0,0,1,0,0,0,0
"00104e33315844fdb2b8c6fdd35912a1","311097790117",57,5,9,"31109779",0,0,1,7,2016,-17.016698,35.079629,15,15,23,43,0,0,0,0,41,1,0,1,1,1,1,0,1,1,1,0,0
"002afb9ae01c46838ef6303cc99e0287","204023330203",36,6,6,"20402333",0,1,1,2,2017,-13.421973,33.524336,12,11,46,20,0,1,0,0,44,1,1,0,0,0,0,0,0,0,0,0,0
"002cfe4fca224667bc394b1289950352","315378640218",61,5,0,"31537864",0,0,0,4,2017,-15.776645,35.020422,2,5,4,0,0,0,0,0,36,0,0,1,3,1,1,0,0,1,0,0,0
"0043da6163794617b4eacbfcf1585c6a","105082150049",67,6,9,"10508215",1,0,1,12,2016,-12.375627,33.719306,14,11,55,0,0,0,0,0,46,0,1,1,1,1,1,0,1,0,1,0,0
"004460497c3042b48ee79c0e7156c3b6","104041860053",39,5,6,"10404186",1,0,1,4,2017,-10.716909,34.043547,10,33,81,21,0,1,0,0,45,0,0,1,1,1,1,0,0,0,1,0,0
"004e377d40dd4ca3862ce695e9a5d380","313068290032",62.5,5,0,"31306829",0,0,1,6,2016,-15.364113,34.670693,22,5,53,28,1,0,0,0,27,0,1,1,1,0,0,0,0,0,1,0,0
"00563ecb9e434e93a3eda7a05399315a","314388440004",69,6,0,"31438844",0,0,0,3,2017,-15.40761,35.335927,1,0,2,14,0,0,0,0,34,0,0,1,4,1,1,1,0,1,1,0,0
"0058e6cc57384df88c7688e59887bde8","307096770225",28,4,0,"30709677",0,0,1,5,2016,-15.994161,35.075365,1,9,23,44,0,0,0,0,69,1,1,0,0,1,1,0,0,0,0,0,0
"005a080696c24af3888cd402b989b9ce","205043600096",35,3,9,"20504360",0,1,1,3,2017,-13.830846,34.42995,3,7,9,51,0,1,0,0,63,1,1,0,0,0,0,0,0,0,1,0,0
"005c5a2a2ff843ffa0a99c1bfeecf94b","206023800176",56,5,2,"20602380",0,1,1,4,2017,-14.004444,33.469742,3,3,32,26,0,0,0,0,37,0,1,1,2,1,1,0,1,0,1,0,0
"00667697be5140f5902e55150ea2537a","308067070061",45.5,4,2,"30806707",0,0,1,4,2017,-15.725627,35.341325,19,8,39,0,0,0,0,0,34,0,1,1,1,1,1,0,1,0,1,0,0
"0069b8192bf84ab0896849db7c44a140","303015670394",42.5,5,11,"30301567",0,0,1,9,2016,-15.268513,35.49244,11,13,24,60,0,0,0,0,18,0,1,0,0,0,0,0,1,0,1,0,0
"006a0e5f89d644e88ac87580bedccf7b","301015200278",32,3,13,"30101520",0,0,1,5,2016,-14.47413,35.197807,5,7,9,60,0,0,0,0,54,1,1,0,0,0,0,0,0,0,1,0,0
"0082d5cf3a4543c9add206ed4690487d","201122730233",24,3,14,"20112273",0,1,1,12,2016,-12.933083,33.60355,12,21,18,57,0,1,0,0,71,0,1,0,0,0,0,0,0,0,0,0,0
"009865b5ed1c493d87a6a14d56555899","302025470028",43,5,13,"30202547",0,0,1,3,2017,-15.061575,35.300281,6,5,7,53,0,0,0,0,27,0,1,1,1,0,0,0,0,0,1,0,0
"009aae2eea5248afad8a83eb3c6c191b","204213500012",56.5,6,17,"20421350",0,1,0,9,2016,-13.536814,33.735148,1,5,51,18,0,0,0,0,42,1,1,1,2,0,0,0,1,0,0,0,0
"009ca5a546384710a5814fb14dff1f14","313028160093",89,6,0,"31302816",0,0,1,4,2017,-15.568044,34.692717,0,1,39,53,0,0,0,0,28,0,0,1,2,1,1,1,0,1,1,0,0
"00a1cc35720a4e2f97deff1a752c284a","102041380275",27,3,10,"10204138",1,0,1,4,2017,-10.403841,34.138224,8,8,58,60,0,0,0,0,49,0,1,0,0,0,0,0,0,0,0,0,0
"00a51d7beedb49a5b953bac4617075ac","210364830021",64,6,5,"21036483",0,1,0,9,2016,-13.956563,33.771997,1,1,2,0,0,0,0,0,30,0,0,1,3,1,1,1,1,1,0,0,0
"00a7c14467ce41e4a7a99ceb40fa263a","206104000108",39,5,3,"20610400",0,1,1,3,2017,-14.096687,33.960052,1,4,22,18,0,0,0,0,20,0,1,0,0,0,0,0,1,0,0,0,0
"00ab16a5552f49b499f898bb94528f11","207024150293",25.5,3,24,"20702415",0,1,1,3,2017,-13.946321,33.186604,1,6,65,4,0,1,0,0,18,0,1,1,1,0,0,0,0,0,0,0,0
"00c095c9651d4a71a0c58ce0d2c96b40","302035540075",27,4,13,"30203554",0,0,1,8,2016,-14.924294,35.85383,61,28,70,41,0,0,0,0,35,0,1,1,2,0,0,0,0,0,0,0,0
"00d0c0c79f134302be1fbc1f95b4472e","207054280216",40.5,4,0,"20705428",0,1,1,6,2016,-13.488871,33.054046,35,6,70,10,0,1,0,0,42,0,1,1,1,0,0,0,1,0,1,0,0
"00d3e15a60ef4cd3bee737590ed46a69","102041410010",39,5,0,"10204141",1,0,1,12,2016,-10.442679,34.101839,13,12,57,53,0,0,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0
"00d82c8b77f34e6eaaea5d26cf18aa9d","209034660090",105,5,0,"20903466",0,1,1,2,2017,-14.846656,34.70755,1,6,32,24,1,0,0,0,38,0,0,1,4,1,1,1,1,1,0,0,0
"00e4185d375441948f1abc83a9482eea","201062610082",32,5,16,"20106261",0,1,1,12,2016,-13.092839,33.373104,8,9,10,12,0,1,0,0,31,0,1,1,2,0,0,0,1,0,1,0,0
"00e63912181844e993e9fdc5e033aeb9","309037320076",70,5,0,"30903732",0,0,1,4,2017,-15.50833,35.782588,47,8,53,35,0,1,0,0,56,0,1,0,0,1,1,0,1,0,1,0,0
"00e67fc92b434910ae4a588825f8a22c","102011240011",31.5,4,1,"10201124",1,0,1,2,2017,-9.715316,33.886667,2,4,27,60,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0
"00e88f5314064fd59eefe1c0b9dbcb17","207064320026",20.5,3,0,"20706432",0,1,1,6,2016,-13.553265,33.192122,35,17,65,35,0,1,0,0,33,0,1,1,1,1,1,0,1,0,0,1,0
"00ea0f4922124dbba4cbf4081271afac","304036010283",28,4,29,"30403601",0,0,1,3,2017,-15.698935,35.255373,14,8,31,45,0,0,0,0,53,1,1,0,0,0,0,0,0,0,0,0,0
"00eaa92e821e49b29c696be554277b96","210765050014",102,6,0,"21076505",0,1,0,6,2016,-14.023146,33.749996,3,4,5,4,0,0,0,0,49,0,0,1,4,1,1,1,1,1,0,0,1
"00eb19bfadd0443c8c545cf2ddbd4c40","302075590062",79,6,0,"30207559",0,0,1,4,2017,-14.812365,35.755902,50,11,65,16,0,1,0,0,51,0,1,0,0,0,0,0,1,0,1,0,0
"00eb946eb415487db6755f8870e395c5","301045300207",47,4,13,"30104530",0,0,1,9,2016,-14.41125,35.595181,4,8,34,33,0,1,0,0,65,0,0,1,1,1,1,0,0,0,0,0,0
"00edfdd97ae84dd9bf063e8784d8e3ec","210595000023",73,5,0,"21059500",0,1,0,4,2017,-13.893669,33.805097,0,10,10,4,0,0,0,0,45,0,0,1,3,1,1,0,0,1,1,0,0
"00f8525c6a904541959d5eef6a1652c4","315448690138",76,6,0,"31544869",0,0,0,5,2016,-15.798508,35.05054,0,1,7,0,0,0,0,0,26,0,0,1,6,1,1,1,0,1,0,0,1
"010290be8346457fbb0290d906a15ab0","305016170255",42,5,0,"30501617",0,0,1,5,2016,-15.621164,35.013099,1,7,16,2,0,0,0,0,77,0,1,0,0,1,1,0,0,0,1,0,0
"01065fd2faaf4790936a8358617feb65","302225660134",45,4,15,"30222566",0,0,0,9,2016,-15.042153,35.22694,3,5,3,6,0,0,0,0,56,0,1,0,0,0,0,0,0,0,1,0,0
"0115d686d2f14d71941ba991803cb7e8","312048040158",28,3,35,"31204804",0,0,1,3,2017,-15.00473,35.163219,0,10,7,39,0,0,0,0,26,1,1,1,1,0,0,0,0,0,0,0,0
"01169316d0f84dfb899284ce9947cb11","207034200296",28.5,3,13,"20703420",0,1,1,6,2016,-13.916922,33.1276,3,7,71,16,0,1,0,0,27,0,1,0,0,0,0,0,1,0,0,0,0
"011c61cfae3b4d76b14a9d8883d46d0c","103091630123",24,3,11,"10309163",1,0,1,4,2017,-11.158936,34.192383,28,31,41,18,0,0,0,0,41,0,1,0,0,1,1,0,1,0,0,0,0
"01230111c77c4764ab6cb687ff063dc0","310017420099",27.5,5,17,"31001742",0,0,1,10,2016,-16.541381,34.933292,9,3,51,45,0,0,0,0,80,0,1,0,0,0,0,0,1,0,0,0,0
"012da9e82da04e21a13f1211b30dbac4","204023310182",46,4,2,"20402331",0,1,1,4,2017,-13.360181,33.496079,3,12,35,4,0,1,0,0,34,0,1,1,1,0,0,0,1,0,0,0,0
"01350493ba9143f4b7e763c1ff0a4eb6","201202780415",78,6,0,"20120278",0,1,0,3,2017,-13.039493,33.484268,1,3,3,35,1,0,0,0,32,0,0,1,1,1,1,0,0,0,0,0,0
"013b2cf61fb44bd78f0c10c3bfcfe4f7","107332350284",59,4,0,"10733235",1,0,0,9,2016,-11.425324,34.017434,2,19,3,16,1,0,0,0,33,0,1,1,2,0,0,0,0,0,0,0,0
"0141282aa5e74dba9f8bff47376e7dd8","301035280121",92,5,0,"30103528",0,0,1,7,2016,-14.082816,34.905699,10,1,58,37,0,0,0,0,21,0,1,1,2,1,1,0,1,0,1,0,0
"014bf6f7bdeb4e2a931a87b88e108542","203043130184",25.5,3,0,"20304313",0,1,1,2,2017,-13.423647,33.82757,7,4,62,22,0,0,0,0,30,0,1,1,1,1,1,0,0,0,1,0,0
"014f093237c74391a87118530c2c3f3e","305066290039",54,4,0,"30506629",0,0,1,5,2016,-15.664213,34.934739,10,6,19,28,0,0,0,0,27,1,0,1,1,1,1,0,0,0,0,0,0
"0153949870d54467ae857a7f4def9db8","206144060145",31,4,13,"20614406",0,1,1,2,2017,-14.123186,33.59488,9,6,20,6,0,0,0,0,71,0,1,0,0,0,0,0,0,0,1,0,0
"0155cdbccbea4042b56a41abb674c0fe","209044670036",43.5,5,21,"20904467",0,1,1,11,2016,-14.810918,34.85051,2,6,26,2,0,0,0,0,53,1,1,0,0,0,0,0,0,0,0,0,0
"015de5cbd5c34ca39e1c11726ca628db","209024640019",35,5,0,"20902464",0,1,1,3,2017,-15.185392,34.628305,26,6,42,31,1,0,0,0,54,0,1,0,0,0,0,0,1,0,0,0,0
"015e4585aa2a4644a01e7829a4da6ec1","302035490327",53.5,4,0,"30203549",0,0,1,3,2017,-14.790041,35.6293,43,8,49,16,0,1,0,0,33,1,1,0,0,0,0,0,0,0,0,0,0
"0160f4b83f1f49319a8ee481507d376b","205073650276",48.5,5,0,"20507365",0,1,1,12,2016,-13.514585,34.282768,2,10,36,18,0,0,0,0,29,0,1,1,1,0,0,0,1,0,0,0,0
"016ee5a45b814ae29562b58c578b7636","304056100101",62,5,0,"30405610",0,0,1,12,2016,-15.574928,35.124925,4,12,28,10,0,0,0,0,61,0,1,0,0,0,0,0,0,0,1,0,0
"0174c9efed1a48439a82cc8ee2e67ced","308067090069",25,4,3,"30806709",0,0,1,2,2017,-15.877739,35.351154,2,5,42,51,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0
"018296b07ea449a7a16642014e0af216","204043400062",21,2,7,"20404340",0,1,1,5,2016,-13.681329,34.128822,4,9,40,20,0,0,0,0,63,0,1,0,0,0,0,0,0,0,0,0,0
"0183ad575999484a9aad60016c4e1e1e","208064520181",42.5,5,4,"20806452",0,1,1,6,2016,-14.298119,34.261228,8,6,12,39,0,0,0,0,48,0,1,1,2,1,1,0,1,0,0,0,0
"0185077cd2d641048b59ab99baa02556","303065830095",49,6,15,"30306583",0,0,1,10,2016,-15.253792,35.256139,10,12,16,0,0,0,0,0,44,0,0,1,2,1,1,0,1,0,1,0,0
"01a06fc892d44c048f6c506608135c41","101021100030",42.5,5,7,"10102110",1,0,1,9,2016,-9.70643,33.572901,20,9,48,15,0,0,0,0,35,0,1,1,1,0,0,0,0,0,0,0,0
"01a2e30339e04b09ba32e266fa5dce77","304015930159",61.5,4,19,"30401593",0,0,1,2,2017,-15.766141,35.153758,5,7,17,18,0,0,0,0,23,1,1,0,0,1,1,0,1,0,0,0,0
"01a618a2e8d14b0cbf21f82eb1bba39f","107372460064",53,6,0,"10737246",1,0,0,1,2017,-11.459434,34.009584,0,17,1,39,1,0,0,0,55,0,0,1,2,1,1,1,1,1,0,0,0
"01ab492b79224921aef733c7a9016895","310067540039",43,4,5,"31006754",0,0,1,11,2016,-16.030033,34.802835,0,2,31,45,0,0,0,0,40,1,1,0,0,0,0,0,0,0,0,0,0
"01ab4ac59fc84f87a0cc8fdb39e8c355","312017930235",37.5,4,11,"31201793",0,0,1,9,2016,-15.238564,34.984646,11,11,25,49,0,0,0,0,31,0,1,0,0,1,1,0,0,0,1,0,0
"01af4c3b2ae6487eb6fa977c04dc0744","304046090064",34.5,3,22,"30404609",0,0,1,2,2017,-15.929301,35.290814,3,5,39,60,0,0,0,0,61,1,0,0,0,1,1,0,0,0,0,0,0
"01b1b3a5b33b4a5e9cfeb2bab2db930a","302015430144",44,5,18,"30201543",0,0,1,3,2017,-14.791922,35.433471,29,13,37,39,0,0,0,0,50,0,0,1,1,1,1,0,1,1,1,0,0
"01bb07fc31394344be05a705a557af21","204033380096",65.5,5,4,"20403338",0,1,1,9,2016,-13.645875,33.64561,19,2,37,35,0,0,0,0,16,0,1,1,1,0,0,0,1,0,1,0,0
"01bb26013e3945b6a68f400f714d98be","210815090103",66,5,0,"21081509",0,1,0,5,2016,-13.900288,33.77319,1,9,9,8,0,0,0,0,22,0,1,1,2,1,1,0,1,1,0,0,0
"01c0f85a3b714feb9063731f78278e4c","202052950269",50.5,4,2,"20205295",0,1,1,6,2016,-13.25146,34.257029,3,16,34,33,0,0,0,0,42,0,1,0,0,0,0,0,1,0,0,0,0
"01dc8fed6de847a483688d00ab3a6868","205023550192",42.5,4,4,"20502355",0,1,1,6,2016,-13.747769,34.455568,4,6,5,10,0,0,0,0,53,1,1,0,0,0,0,0,0,0,0,0,0
"01ea6f66c1fe4e2b9dcdb71fa4ee4cc9","102011260068",38,5,3,"10201126",1,0,1,4,2017,-9.757697,33.85199,4,2,22,60,0,0,0,0,32,0,1,1,1,0,0,0,1,0,0,0,0
"01eab371baa04460ba369f76abb96163","304025990228",30,3,0,"30402599",0,0,1,4,2017,-15.835268,35.167445,0,2,19,45,0,0,0,0,23,0,0,0,0,1,1,0,0,0,0,0,0
"01ed4b0ebb174ce2b6ad24a2171b81f8","102051430237",56,5,1,"10205143",1,0,1,7,2016,-10.300082,34.151984,5,8,45,34,0,0,0,0,23,0,1,1,2,0,0,0,0,0,1,0,0
"01efa4d446d6414aa929d00570c58965","301035250190",24,3,10,"30103525",0,0,1,3,2017,-14.112681,34.870719,10,6,58,4,0,0,0,0,35,0,1,0,0,0,0,0,0,0,1,0,0
"01f3e2008a49474db4542b18f9e7d3c7","310017360200",42,4,6,"31001736",0,0,1,4,2016,-16.392512,34.890469,2,7,69,18,0,0,0,0,33,0,1,1,1,1,1,0,0,0,1,0,0
"01fb3c9893ec4f3fb588f96177dc13ad","303025720151",28.5,4,38,"30302572",0,0,1,4,2017,-15.432665,35.552417,23,3,29,49,0,0,0,0,41,0,1,0,0,0,0,0,0,0,0,0,0
"0205eaf11fca4dab859c2e4a34c173ab","203033090019",25,3,9,"20303309",0,1,1,2,2017,-13.334414,33.993416,8,8,56,51,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0
"0206114253f648ebbb34985c435c73b6","315328570150",89,6,0,"31532857",0,0,0,4,2016,-15.718961,35.070469,4,2,11,8,0,0,0,0,28,0,0,1,4,1,1,0,0,1,0,0,0
"020d4c854909456280e6687d6b375c59","107382470047",77,6,0,"10738247",1,0,0,10,2016,-11.452838,34.01643,0,18,1,39,1,0,0,0,38,0,0,1,2,1,1,1,0,1,0,0,1
"020dc4517c2149468671eaa22974885b","303055810165",24.5,3,25,"30305581",0,0,1,5,2016,-15.621626,35.443322,27,6,32,57,0,0,0,0,42,1,1,0,0,0,0,0,0,0,0,0,0
"020e11ec54e347f89e47afcb566c0efa","206033840115",30,4,35,"20603384",0,1,1,4,2017,-14.142451,33.763861,10,4,18,0,0,0,0,0,30,1,1,0,0,0,0,0,0,0,0,0,0
"0211d638f598408783cf3358bb9066e8","313038230102",40.5,4,6,"31303823",0,0,1,9,2016,-15.427582,34.825967,0,8,41,28,0,0,0,0,79,0,1,0,0,1,1,0,0,0,1,0,0
"0213d258e4fe4800be298993e66b514f","102031360183",49,4,12,"10203136",1,0,1,1,2017,-10.071092,33.996649,0,10,15,57,0,0,0,0,45,0,0,1,1,1,1,0,1,0,1,0,0
"021471945bc74ba8acfdc9a85b3375a7","202012850659",40,5,4,"20201285",0,1,1,12,2016,-12.474514,34.069092,0,2,52,47,0,1,0,0,28,0,1,1,1,1,1,0,1,0,1,0,0
"0221693a37d74e298ae6f04fc48ddad3","307086750066",26,5,0,"30708675",0,0,1,9,2016,-16.108243,35.110525,6,6,38,54,0,0,0,0,70,0,1,0,0,1,1,0,1,0,1,0,0
"022186ff38594cc8a25bbc268953a1a4","305036220348",30,5,33,"30503622",0,0,1,2,2017,-15.431764,35.003062,7,1,34,55,0,0,0,0,31,1,1,0,0,0,0,0,0,0,0,0,0
"022d716173f74d1db4cb5e7bfe684401","312017950191",24,3,0,"31201795",0,0,1,5,2016,-15.226151,34.905952,0,2,28,41,0,0,0,0,18,0,1,1,1,1,1,0,0,0,0,0,0
"022f3a5a92114756951aec73f8949e70","101051210104",47.5,4,4,"10105121",1,0,1,3,2017,-9.591378,33.05745,6,8,104,31,0,0,0,0,35,1,1,0,0,1,1,0,1,0,1,0,0
"02355a1ee3a74b9bb452f5dcdff6b87a","312047990082",47,5,0,"31204799",0,0,1,6,2016,-14.903672,35.085979,11,20,14,43,0,0,0,0,33,0,1,0,0,0,0,0,0,0,1,0,0
"023c147662df4ec69141c9a25a15b041","209064740236",22,2,1,"20906474",0,1,1,1,2017,-14.641939,34.583085,5,9,40,41,0,0,0,0,67,0,1,0,0,0,0,0,1,0,0,0,0
"023cc5425bb84a50ac7d40e551636ed2","102011240078",25,3,25,"10201124",1,0,1,1,2017,-9.715316,33.886667,2,4,27,57,0,0,0,0,75,0,1,0,0,0,0,0,0,0,0,0,0
"023d01eeddf54361a86563cfb0015034","305036220090",49.5,4,0,"30503622",0,0,1,2,2017,-15.431764,35.003062,7,1,32,53,0,0,0,0,28,0,1,0,0,0,0,0,0,0,1,0,0
"024057deebb149b9a322b13f4b6f1fe9","107322320684",98,6,0,"10732232",1,0,0,3,2017,-11.39583,33.986905,2,14,9,43,1,0,0,0,39,1,0,1,2,1,1,1,0,1,0,0,0
"024987811d664977869d33b8e35dcb54","305036230141",52,5,0,"30503623",0,0,1,10,2016,-15.452825,34.947099,0,1,38,39,0,0,0,0,68,1,0,1,1,1,1,0,0,0,0,0,0
"024c274feef34881aa2e817671c82f31","307046670098",44,5,0,"30704667",0,0,1,10,2016,-16.237141,35.113096,20,3,52,16,0,0,0,0,73,1,0,0,0,1,1,0,0,0,0,0,0
"024ffcc9b58743998bd4f42c1d5dd7ca","105022030119",58,6,0,"10502203",1,0,1,11,2016,-11.443987,33.818765,10,5,22,60,0,1,0,0,17,0,1,1,3,0,0,0,0,0,1,0,0
"0251a288580b48de81c61e767ba0a2e5","105011980002",57.5,6,0,"10501198",1,0,1,2,2017,-12.024975,33.32538,8,2,35,43,1,0,0,0,35,0,1,1,1,0,0,0,1,0,0,0,0
"025702ab243a4e20abab067148c8bf34","305086380039",71,5,0,"30508638",0,0,1,2,2017,-15.964919,34.950694,2,4,20,55,0,0,0,0,36,0,0,1,2,1,1,0,0,1,0,0,0
"0258be4feaef468486cb11f867db8cfa","104041840113",49,4,9,"10404184",1,0,1,1,2017,-10.620806,34.109264,8,20,80,20,0,0,0,0,35,0,1,1,1,0,0,0,0,0,0,0,0
"025945bcc4c3411695b3819ee416b4b4","305036220400",33,5,25,"30503622",0,0,1,2,2017,-15.431764,35.003062,8,1,33,60,0,0,0,0,41,1,1,0,0,0,0,0,0,0,0,0,0
"025aa6c330234024a159947a74a27cb7","105011970059",86,6,0,"10501197",1,0,1,5,2016,-11.95341,33.367064,19,2,28,35,0,1,0,0,39,0,1,0,0,0,0,0,0,0,0,0,0
"025b34db889043f6a67eed748f55a785","206013770185",29.5,4,5,"20601377",0,1,1,5,2016,-14.23632,33.797774,18,2,29,12,0,0,0,0,49,0,1,1,1,0,0,0,0,0,0,0,0
"025b8196168f4c409b738a5f8361d470","304025990462",62,6,0,"30402599",0,0,1,4,2017,-15.835268,35.167445,0,2,19,45,0,0,0,0,57,0,1,0,0,0,0,0,0,0,1,0,0
"02609276cf1a4b76a32b383fdbc60404","204033360138",90,6,0,"20403336",0,1,1,7,2016,-13.577768,33.56351,16,4,52,45,0,1,0,0,49,0,1,1,2,1,1,0,1,0,1,0,0
"02633fa87d104b10b6e11bea7bb48b3e","210865130628",79,5,8,"21086513",0,1,0,5,2016,-13.959151,33.741979,2,5,5,4,0,0,0,0,23,0,0,1,1,1,1,0,0,1,1,0,0
"027089f794f44a8bb0c6d4ea50284d8d","304015940143",29,3,2,"30401594",0,0,1,10,2016,-15.766709,35.22348,10,5,24,26,0,0,0,0,34,0,1,0,0,1,1,0,1,0,1,0,0
"0287bda9e7074b26bcc4d38267651a8d","207054300020",81,6,0,"20705430",0,1,1,12,2016,-13.557205,32.897253,22,10,86,39,0,1,0,0,51,1,0,1,1,1,1,0,1,0,0,0,0
"0288ef267fcd4691a6dfc8badc215a0d","203053190265",24.5,4,23,"20305319",0,1,1,2,2017,-13.222906,33.832923,5,7,45,49,0,1,0,0,38,0,1,0,0,0,0,0,0,0,1,0,0
"028a11ecbc794a15b6665495b10d73f1","206083980028",28,3,8,"20608398",0,1,1,2,2017,-13.714481,33.687636,7,11,29,26,0,0,0,0,22,0,1,0,0,0,0,0,1,0,0,0,0
"028e4eba2bb44f12a833a043097732b0","304036050247",33,4,5,"30403605",0,0,1,1,2017,-15.80194,35.297593,8,6,33,35,0,0,0,0,27,1,1,0,0,0,0,0,0,0,0,0,0
"0299779551cf4f9583328e8b3ae4f871","204013290180",21.5,2,5,"20401329",0,1,1,2,2017,-13.639242,33.637618,10,10,42,43,0,0,0,0,33,0,1,0,0,0,0,0,1,0,1,0,0
"02a41463c8dd408cbaee6d1b2096c1c0","210534940151",60.5,6,19,"21053494",0,1,0,2,2017,-14.016298,33.806101,2,4,5,0,0,0,0,0,31,1,0,1,1,1,1,0,1,0,1,0,0
"02a70dbe6b504cc6bbe7e05d65d086d7","102031350123",57,6,0,"10203135",1,0,1,5,2016,-10.002351,33.932955,1,7,5,60,0,0,0,0,41,0,1,1,2,1,1,0,1,0,0,0,0
"02acc4cad4a44743acab2a7fbcd5cdff","208024400182",23,3,11,"20802440",0,1,1,6,2016,-14.31495,33.981149,19,9,39,16,0,0,0,0,76,1,1,0,0,0,0,0,0,0,0,0,0
"02afad16dc2a4c9d896cbb1a2ffb823f","309017230289",44,4,19,"30901723",0,0,1,9,2016,-15.73134,35.566626,29,5,53,22,0,0,0,0,53,0,1,0,0,1,1,0,1,0,1,0,0
"02caf9f25a7f4d228a6fedf1e381320b","205023540281",58.5,5,0,"20502354",0,1,1,3,2017,-13.707395,34.373415,0,10,16,28,0,0,0,0,28,0,1,1,1,0,0,0,0,0,0,0,0
"02ccb4775a304405afe79d49e784b40e","312047990114",28,3,22,"31204799",0,0,1,6,2016,-14.903672,35.085979,10,19,13,41,0,0,0,0,21,0,1,1,1,0,0,0,1,0,0,0,0
"02d6fc1eec2048468ce8762ac5cd2700","208044470153",42,4,2,"20804447",0,1,1,3,2017,-14.005091,34.196053,20,12,37,41,0,0,0,0,36,0,1,1,2,1,1,0,1,0,1,0,0
"02db23508e8249d4b6abe8bbb9f07708","310017390257",31.5,4,5,"31001739",0,0,1,3,2017,-16.497695,34.947832,2,3,60,0,0,0,0,0,55,0,1,0,0,1,1,0,0,0,0,0,0
"02dea1330e6a410a9582b3fbe6388876","104011790024",38,5,0,"10401179",1,0,1,6,2016,-10.960315,33.92762,4,13,59,60,0,1,0,0,75,1,0,0,0,1,1,0,0,0,0,0,0
"02e89b31d9b448ff9d301b062ccb7102","102031330065",35.5,4,22,"10203133",1,0,1,9,2016,-9.873128,33.896288,4,7,9,55,0,0,0,0,57,0,1,1,1,1,1,0,0,0,1,0,0
"02efcfc008e5421689f15453f516a273","205063640301",52,5,0,"20506364",0,1,1,1,2017,-14.079133,34.532966,2,16,36,12,0,0,0,0,65,0,1,0,0,1,1,0,0,0,1,0,0
"02fac076c8c94ffc929e132569e66c46","304066130017",49.5,4,0,"30406613",0,0,1,2,2017,-15.667329,35.3114,14,8,32,37,0,0,0,0,17,0,1,0,0,1,1,0,0,0,0,0,0
"02fb88cc7cbc416a8ae63563b1e716ce","104011770189",54,4,0,"10401177",1,0,1,10,2016,-10.970504,33.738524,0,13,62,34,0,1,0,0,65,1,0,0,0,1,1,0,0,0,0,0,0
"02fced76ad744a92a93fc176c77eeea1","104011790095",40.5,5,6,"10401179",1,0,1,6,2016,-10.960315,33.92762,4,13,59,55,0,1,0,0,33,0,1,0,0,0,0,0,0,0,1,0,0
"02fdbf61b4604b38983eb2acb424e0f7","104011730034",35,4,4,"10401173",1,0,1,9,2016,-10.895534,33.744985,7,17,68,53,0,0,0,0,55,1,1,1,2,0,0,0,0,0,1,0,0
"02ff35deb6f041d7aa64f99822d889e1","107342390087",54,5,4,"10734239",1,0,0,10,2016,-11.458178,34.013903,1,19,2,26,1,0,0,0,47,1,0,1,3,1,1,0,1,0,0,0,0
"03013d3b04f3496ab37a25edb0f2eed3","303025710115",56,5,7,"30302571",0,0,1,10,2016,-15.420275,35.394941,8,10,11,20,0,0,0,0,32,0,1,0,0,1,1,0,1,0,1,0,0
"0303fa000b8c494fb0de4c0812b84cf6","101041170138",35.5,3,7,"10104117",1,0,1,2,2017,-10.32619,33.717783,9,10,45,45,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0
"03185ca85ee347569aba9746b1acd60f","104041860125",37.5,5,15,"10404186",1,0,1,4,2017,-10.716909,34.043547,10,35,79,15,0,1,0,0,34,0,1,1,1,0,0,0,0,0,0,0,0
"031b0d4134504b1a9ea476e322a588c3","314358360261",53,5,18,"31435836",0,0,0,4,2017,-15.369294,35.346946,1,5,5,51,0,0,0,0,38,0,1,1,1,0,0,0,1,1,1,0,0
