"","FNID","weights","X2010.01.01","X2010.02.01","X2010.03.01","X2010.04.01","X2010.05.01","X2010.06.01","X2010.07.01","X2010.08.01","X2010.09.01","X2010.10.01","X2010.11.01","X2010.12.01","X2011.01.01","X2011.02.01","X2011.03.01","X2011.04.01","X2011.05.01","X2011.06.01","X2011.07.01","X2011.08.01","X2011.09.01","X2011.10.01","X2011.11.01","X2011.12.01","X2012.01.01","X2012.02.01","X2012.03.01","X2012.04.01","X2012.05.01","X2012.06.01","X2012.07.01","X2012.08.01","X2012.09.01","X2012.10.01","X2012.11.01","X2012.12.01","X2013.01.01","X2013.02.01","X2013.03.01","X2013.04.01","X2013.05.01","X2013.06.01","X2013.07.01","X2013.08.01","X2013.09.01","X2013.10.01","X2013.11.01","X2013.12.01","X2014.01.01","X2014.02.01","X2014.03.01","X2014.04.01","X2014.05.01","X2014.06.01","X2014.07.01","X2014.08.01","X2014.09.01","X2014.10.01","X2014.11.01","X2014.12.01","X2015.01.01","X2015.02.01","X2015.03.01","X2015.04.01","X2015.05.01","X2015.06.01","X2015.07.01","X2015.08.01","X2015.09.01","X2015.10.01","X2015.11.01","X2015.12.01","X2016.01.01","X2016.02.01","X2016.03.01","X2016.04.01","X2016.05.01","X2016.06.01","X2016.07.01","X2016.08.01","X2016.09.01","X2016.10.01","X2016.11.01","X2016.12.01"
"1","UG2011L101",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2","UG2011L102",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.19518744382789e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19518744382789e-05,0,0,4.19518744382789e-05,4.19518744382789e-05,0,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05,1,4.19518744382789e-05,1,1,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05,1,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05,4.19518744382789e-05
"3","UG2011L103",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4","UG2011L104",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5","UG2011L105",1,0,0,0,0,0,0,0,0,0,0,0,0.812716100187355,0,0,0,0,0,0.739899330488531,0,0,0.739899330488531,0.739899330488531,0.739899330488531,0.772957760279157,0.739899330488531,0.739899330488531,0.739899330488531,0.739899330488531,0.739899330488531,0.739899330488531,0.739899330488531,0.739899330488531,0.739899330488531,0.739899330488531,0.739899330488531,0.739899330488531,0.739899330488531,0.739899330488531,0.739899330488531,0,0,0,0,0,0,0,0.772957760279157,0.739899330488531,0.739899330488531,0.772957760279157,0.033058429790626,0,0.033058429790626,0.033058429790626,0.033058429790626,0.772957760279157,0.812716100187355,0.960241660091803,0.26010066951147,1,0.033058429790626,0.033058429790626,0.033058429790626,0.033058429790626,0.033058429790626,0.033058429790626,0.033058429790626,0.033058429790626,0.033058429790626,0.033058429790626,0.033058429790626,0.0728167696988237,0.033058429790626,0.033058429790626,0.772957760279157,0.772957760279157,0.772957760279157,0.772957760279157,0.772957760279157,0.033058429790626,0.033058429790626,0.033058429790626,0.033058429790626,0.033058429790626
"6","UG2011L106",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.609491850557071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609491850557071,0,0,0.609491850557071,0.609491850557071,0,0.609491850557071,0.609491850557071,0.609491850557071,0.609491850557071,1,0.609491850557071,1,1,0.609491850557071,0.609491850557071,0.609491850557071,0.609491850557071,0.609491850557071,0.609491850557071,0.609491850557071,0.609491850557071,0.609491850557071,0.609491850557071,0.609491850557071,1,0.609491850557071,0.609491850557071,0.609491850557071,0.609491850557071,0.609491850557071,0.609491850557071,0.609491850557071,0.609491850557071,0.609491850557071,0.609491850557071,0.609491850557071,0.609491850557071
"7","UG2011L107",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.572848810935448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572848810935448,0,0,0.572848810935448,0.572848810935448,0,0.572848810935448,0.572848810935448,0.572848810935448,0.572848810935448,1,0.572848810935448,1,1,0.572848810935448,0.572848810935448,0.572848810935448,0.572848810935448,0.572848810935448,0.572848810935448,0.572848810935448,0.572848810935448,0.572848810935448,0.572848810935448,0.572848810935448,1,0.572848810935448,0.572848810935448,0.572848810935448,0.572848810935448,0.572848810935448,0.572848810935448,0.572848810935448,0.572848810935448,0.572848810935448,0.572848810935448,0.572848810935448,0.572848810935448
"8","UG2011L108",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.467975901111813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467975901111813,0,0,0.467975901111813,0.467975901111813,0,0.467975901111813,0.467975901111813,0.467975901111813,0.467975901111813,1,0.467975901111813,1,1,0.467975901111813,0.467975901111813,0.467975901111813,0.467975901111813,0.467975901111813,0.467975901111813,0.467975901111813,0.467975901111813,0.467975901111813,0.467975901111813,0.467975901111813,1,0.467975901111813,0.467975901111813,0.467975901111813,0.467975901111813,0.467975901111813,0.467975901111813,0.467975901111813,0.467975901111813,0.467975901111813,0.467975901111813,0.467975901111813,0.467975901111813
"9","UG2011L109",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10","UG2011L110",1,0,0,0,0,0,0,0,0,0,0,0,0.439596723370787,0,0,0,0,0,0,0,0,0,0,0,0.439596723370787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439596723370787,0,0,0.439596723370787,0.439596723370787,0,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,1,1,1,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787,0.439596723370787
