"case_id","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","roof_other","Radio","Television","Bicycle","Motorcycle","Car","cellphone","number_celphones","dist_road","dist_popcenter","dist_market","dist_admctr","ag_percent","slope","elevation","reside","ea_id","hh_a01","hh_a02","FS_month","FS_year","HDDS","FCS","Month","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","yearmon","asset_index","FNID","rural","date","clust_cassava_price","clust_bean_mktthin","clust_maize_mktthin","clust_cassava_mktthin","lhz_cassava_price","lhz_bean_mktthin","lhz_maize_mktthin","lhz_cassava_mktthin","year","cropyear","raincytot","day1rain","maxdaysnorain","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","floodmax","lhz_floodmax"
1013000206,1,0,1,0,0,1,0,0,1,0,1,1,0.8136,4.0912,4.0912,4.0912,22,4.890816,1186,"Rural","10130002","KAMPALA","RUBAGA DIVISION",9,2012,6,44.5,"September",0,0,1,Sep 2012,3.01188079216291,"UG2011L140",0,2012-08-01,1500,0,0,0,1395.23822783966,0.0149797118965425,0.0149797118965425,0.0149797118965425,"2012","2011",2040.79275131641,17,40,5,489,23.030044224901,1967.4150633193,22,0,0
1013000206,1,0,1,0,0,1,0,0,1,0,1,1,0.8136,4.0912,4.0912,4.0912,22,4.890816,1186,"Rural","10130002","KAMPALA","RUBAGA DIVISION",9,2012,6,44.5,"September",0,0,1,Sep 2012,3.01188079216291,"UG2011L141",0,2012-08-01,1500,0,0,0,1395.23822783966,0.0149797118965425,0.0149797118965425,0.0149797118965425,"2012","2011",2040.79275131641,17,40,5,489,23.6587487385236,2223.93335599315,13,0,0
1013000210,0,1,1,0,0,1,0,0,0,0,1,1,41.3587,66.6363,66.6363,26.0381,9,6.238901,1144,"Rural","10130002","KALANGALA","MAZINGA",2,2012,4,37,"February",0,0,0,Feb 2012,0.391734914449985,"UG2011L137",0,2012-01-01,1167,0,0,0,1154.52555296316,0.0149797118965425,0.0149797118965425,0.0149797118965425,"2012","2011",2040.79275131641,17,40,14,489,23.9372790783217,1939.7343087479,24,0,0
1013000210,0,1,1,0,0,1,0,0,0,0,1,1,41.3587,66.6363,66.6363,26.0381,9,6.238901,1144,"Rural","10130002","KALANGALA","MAZINGA",2,2012,4,37,"February",0,0,0,Feb 2012,0.391734914449985,"UG2011L140",0,2012-01-01,1167,0,0,0,1154.52555296316,0.0149797118965425,0.0149797118965425,0.0149797118965425,"2012","2011",2040.79275131641,17,40,5,489,23.030044224901,1967.4150633193,22,0,0
1013000210,0,1,1,0,0,1,0,0,0,0,1,1,41.3587,66.6363,66.6363,26.0381,9,6.238901,1144,"Rural","10130002","KALANGALA","MAZINGA",2,2012,4,37,"February",0,0,0,Feb 2012,0.391734914449985,"UG2011L141",0,2012-01-01,1167,0,0,0,1154.52555296316,0.0149797118965425,0.0149797118965425,0.0149797118965425,"2012","2011",2040.79275131641,17,40,5,489,23.6587487385236,2223.93335599315,13,0,0
1013000212,0,1,0,0,1,1,0,1,0,0,0,0,24.63892,48.91718,48.91718,25.80526,19.8,5.3424388,1157.8,"Rural","10130002","KYEGEGWA","HAPUYO",3,2012,1,0,"March",0,0,0,Mar 2012,-0.585999877525919,"UG2011L137",0,2012-02-01,1034,0,0,0,1133.78406046174,0.0149797118965425,0.0149797118965425,0.0149797118965425,"2012","2011",2040.79275131641,17,40,14,489,23.9372790783217,1939.7343087479,24,0,0
1013000212,0,1,0,0,1,1,0,1,0,0,0,0,24.63892,48.91718,48.91718,25.80526,19.8,5.3424388,1157.8,"Rural","10130002","KYEGEGWA","HAPUYO",3,2012,1,0,"March",0,0,0,Mar 2012,-0.585999877525919,"UG2011L140",0,2012-02-01,1034,0,0,0,1133.78406046174,0.0149797118965425,0.0149797118965425,0.0149797118965425,"2012","2011",2040.79275131641,17,40,5,489,23.030044224901,1967.4150633193,22,0,0
1013000212,0,1,0,0,1,1,0,1,0,0,0,0,24.63892,48.91718,48.91718,25.80526,19.8,5.3424388,1157.8,"Rural","10130002","KYEGEGWA","HAPUYO",3,2012,1,0,"March",0,0,0,Mar 2012,-0.585999877525919,"UG2011L141",0,2012-02-01,1034,0,0,0,1133.78406046174,0.0149797118965425,0.0149797118965425,0.0149797118965425,"2012","2011",2040.79275131641,17,40,5,489,23.6587487385236,2223.93335599315,13,0,0
101300021302,0,1,1,0,0,0,0,0,0,0,1,1,0.1043,42.7763,42.7763,47.3164,68,4.750865,1191,"Rural","10130002","MPIGI","NKOZI",4,2012,5,74.5,"April",0,1,0,Apr 2012,-0.0676303406827704,"UG2011L137",0,2012-03-01,1100,0,0,0,1149.53551458315,0.0149797118965425,0.0149797118965425,0.0149797118965425,"2012","2011",2040.79275131641,17,40,14,489,23.9372790783217,1939.7343087479,24,0,0
101300021302,0,1,1,0,0,0,0,0,0,0,1,1,0.1043,42.7763,42.7763,47.3164,68,4.750865,1191,"Rural","10130002","MPIGI","NKOZI",4,2012,5,74.5,"April",0,1,0,Apr 2012,-0.0676303406827704,"UG2011L140",0,2012-03-01,1100,0,0,0,1149.53551458315,0.0149797118965425,0.0149797118965425,0.0149797118965425,"2012","2011",2040.79275131641,17,40,5,489,23.030044224901,1967.4150633193,22,0,0
